Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
NCM,Nicola Mining,TSX.V,Canada,Canada,British Columbia,Producer,Merritt Mill toll-milling BC (cash flow); Treasure Mountain Ni-Cu-Zn-Ag BC,Primary,Merritt Mill generates cash from toll-milling; Treasure Mountain Ni-Cu-Zn-Ag historical resource BC; ~C$10M mkt cap
SHL,Homeland Nickel,TSX.V,Canada,Canada; Brazil,Ontario; Pará,Explorer,Carajas-area Ni Brazil (agreement Brazilian Nickel Ltd 2025); Sudbury area ON Ni,Primary,Brazilian Nickel Ltd preliminary agreement Oct 2025 for Carajas-area Ni Brazil; Sudbury ON targets; dual Brazil + Canada Ni strategy; ~C$10M mkt cap
VAL,Valore Metals,TSX.V,Canada,Canada,NWT,Developer,Beaverlodge Ni-Cu-Co-PGM NWT; Thor Co-Ni NWT,Primary,NWT Ni-Cu-Co-PGM; Beaverlodge + Thor projects; underexplored NWT battery metals district; ~C$10M mkt cap
ALX,ALX Resources,TSX.V,Canada,Canada,Saskatchewan,Explorer,Falcon + Electra Ni-Cu-Co sulphide SK; Sceptre Ni SK; Thompson Belt analogue geology,Primary,Saskatchewan Ni sulphide; Falcon + Electra + Sceptre; Thompson Nickel Belt-analogue; ~C$5M mkt cap
BON,Bold Ventures,TSX.V,Canada,Canada,Ontario,Explorer,Escape Lake Ni-Cu-Co-PGM Ring of Fire ON; chromite-Ni belt ON,Primary,Ring of Fire Ontario Ni-Cu-Co-PGM + chromite; Escape Lake on chromite belt; Ring of Fire road access a key catalyst; ~C$5M mkt cap
HPAL,Hpal Nickel,TSX.V,Canada,Philippines,Palawan,Developer,Rio Tuba Ni-Co laterite Philippines (HPAL processing study),Primary,Rio Tuba Philippines: Ni-Co laterite HPAL study; Southeast Asian Ni developer; ~C$5M mkt cap
MNS,Maniitsoq Mineral Resources,TSX.V,Canada,Greenland,Maniitsoq District,Explorer,Maniitsoq Ni-Cu-Co-PGM Greenland (Norilsk-type; large land package),Primary,Maniitsoq Greenland world-class Ni-Cu-Co-PGM district; Norilsk-type analogue; Greenland strategic metals; ~C$5M mkt cap
NOKN,North American Nickel,TSX.V,Canada,Greenland; Canada,Maniitsoq; Ontario,Explorer,Maniitsoq Ni-Cu-Co-PGM Greenland (Norilsk-type large system); Sudbury ON targets,Primary,Maniitsoq Greenland: Norilsk-type Ni-Cu-Co-PGM; Ontario Ni sulphide secondary; dual-jurisdiction explorer; ~C$5M mkt cap
TSHA,Tartisan Nickel,CSE,Canada,Canada,Ontario,Explorer,Kenbridge Ni-Cu-Co sulphide ON (4.4 Mt @ 1.22% Ni historical); Sill Lake ON,Primary,Kenbridge ON: 4.4 Mt @ 1.22% Ni near Sudbury infrastructure; drill-ready; ~C$5M mkt cap
TSTN,Transition Metals,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Sudbury + Kapuskasing ON; Au-Ni Maude Lake ON; deal-flow generator,Primary,Sudbury + Kapuskasing Ontario Ni sulphide; deal-flow generator model; multiple early-stage targets; ~C$5M mkt cap
ICON,Icon Exploration,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Timmins area ON; Timmins Ni District,Primary,Timmins-area Ontario Ni sulphide; same district as Canada Nickel; early-stage; ~C$3M mkt cap
KALI,Kali-Kultura,CSE,Canada,Indonesia,Sulawesi,Explorer,Sulawesi Ni laterite (saprolite); RKEF/HPAL processing pathway Indonesia,Primary,Sulawesi Indonesia Ni laterite; saprolite targets; RKEF/HPAL pathway; ~C$3M mkt cap
KELT,Kesselrun Resources,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Ontario (Wawa-Chapleau Belt),Primary,Wawa-Chapleau Belt Ontario Ni sulphide; early-stage; ~C$3M mkt cap
NKLA,Magna Terra Minerals,TSX.V,Canada,Canada,Nova Scotia; Ontario,Explorer,Dominique Ni-Cu-Co sulphide NS; Ontario Ni targets,Primary,Dominique NS: Ni-Cu-Co sulphide Maritime Canada; underexplored Ni district; ~C$3M mkt cap
NVA,NiCan,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu sulphide Ontario (Sudbury + Temagami),Primary,Sudbury + Temagami Ontario Ni-Cu sulphide; multiple early-stage targets; ~C$3M mkt cap
PCNI,Pacific Coast Nickel,TSX.V,Canada,Canada,British Columbia,Explorer,Prospect Valley Ni-Co laterite BC; Coquihalla Ni sulphide BC; dual Ni strategy,Primary,BC dual: Ni-Co laterite (Prospect Valley) + Ni sulphide (Coquihalla); early-stage BC Ni explorer; ~C$3M mkt cap
PGN,Panther Metals,TSX.V,Canada,Australia; UK,Victoria (AU); Wales,Explorer,Annaburroo Ni-Cu-Co NT Australia; Merlin Ni Wales UK,Primary,Dual jurisdiction Ni sulphide NT Australia + Wales UK; early-stage underexplored; ~C$3M mkt cap
PSG,Passage Resources,TSX.V,Canada,Canada,Ontario; Manitoba,Explorer,Ni-Cu-Co sulphide Ontario + Manitoba; Pipestone Ni MB,Primary,Ontario + Manitoba Ni sulphide; Pipestone MB Ni target; early-stage multi-province; ~C$3M mkt cap
SPN,SPN Mining,TSX.V,Canada,Canada,Manitoba,Explorer,Thompson Nickel Belt Ni-Cu-Co sulphide MB (same belt as Vale/Hudbay operations),Primary,Thompson Nickel Belt MB: same belt as Vale Thompson + Hudbay; early-stage sulphide; underexplored portions of prolific belt; ~C$3M mkt cap
XNI,X-Terra Resources,TSX.V,Canada,Canada,Quebec,Explorer,Ni-Cu-Co sulphide QC (Chibougamau-area ultramafics),Primary,Chibougamau QC Ni sulphide in ultramafics; early-stage QC Ni explorer; ~C$3M mkt cap
MTAL2,Metal Energy,TSX.V,Canada,Canada,Quebec,Explorer,Ni-Cu-Co sulphide QC (Abitibi); REE secondary,Primary,Abitibi QC Ni-Cu-Co sulphide + REE; early-stage multi-target QC; ~C$2M mkt cap
NVNI,Nevada Nickel,TSX.V,Canada,USA,Nevada,Explorer,Ni-Co-Mn sulphide Nevada (Goldstrike area),Primary,Nevada Ni sulphide; Goldstrike-area; early-stage US Ni explorer; ~C$2M mkt cap
PRL,Peregrine Metals,TSX.V,Canada,Argentina,San Juan,Explorer,Ni-Cu-Co sulphide + laterite San Juan Argentina,Primary,Argentina Ni explorer; sulphide + laterite; San Juan province; ~C$2M mkt cap
QNI,Quartz Mountain Resources,TSX.V,Canada,Canada; USA,Ontario; Oregon,Explorer,Ni-Cu sulphide Ontario primary; Quartz Mountain Au Oregon secondary,Primary,Ontario Ni sulphide primary + Oregon Au secondary; early-stage ON Ni explorer; ~C$2M mkt cap
